Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
2018,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,785,9300278,Wine,FALSE
2018,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,411,1577270,Wine,FALSE
2018,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,314,1466340,Wine,FALSE
2018,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,381,91422105,Wine,FALSE
2018,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,323,41537342,Wine,FALSE
2018,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,84,49884763,Wine,FALSE
2019,01-Count of IMs,01-Count of IMs,Number of Industry Members,8779,8779,Wine,FALSE
2019,1-Production,1-Production,0-Category Total,6857,854159556,Wine,FALSE
2019,1-Production,1-Production,1-Low Alcohol %,6443,744137459,Wine,FALSE
2019,1-Production,1-Production,2-Medium and High Alcohol %,1187,54079123,Wine,FALSE
2019,1-Production,1-Production,4-Artificially Carbonated Wine,184,2438230,Wine,FALSE
2019,1-Production,1-Production,5-Sparkling Wine,356,31371508,Wine,FALSE
2019,1-Production,1-Production,6-Hard Cider,811,22133237,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,6931,725322265,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6527,635574597,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1555,10157676,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,429,2090334,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,802,28248903,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,905,49250755,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,6931,725322265,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6683,710522975,Wine,FALSE
2019,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,880,14799290,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3616,117234850,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3401,103829781,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,700,10266912,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,465,1360583,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,325,1777575,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,369,88156170,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,300,36799733,Wine,FALSE
2019,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,100,51356437,Wine,FALSE
2020,01-Count of IMs,01-Count of IMs,Number of Industry Members,9028,9028,Wine,FALSE
2020,1-Production,1-Production,0-Category Total,6755,769556297,Wine,FALSE
2020,1-Production,1-Production,1-Low Alcohol %,6322,673140821,Wine,FALSE
2020,1-Production,1-Production,2-Medium and High Alcohol %,1115,43011420,Wine,FALSE
2020,1-Production,1-Production,4-Artificially Carbonated Wine,203,2114542,Wine,FALSE
2020,1-Production,1-Production,5-Sparkling Wine,395,29898772,Wine,FALSE
2020,1-Production,1-Production,6-Hard Cider,846,21390741,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,6999,743031765,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6592,660808198,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1521,10077380,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,460,2854078,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,833,27449360,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,980,41842748,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,6999,743031765,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6728,725058752,Wine,FALSE
2020,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,850,17973013,Wine,FALSE
