CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
4,2012,1-Production,1-Production,6-Hard Cider,10,480310,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1000,38056622,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,757,3749709,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,50,90165,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,176,1174811,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,27,1300385,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1138,42632274,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,65,1739419,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,509,9104343,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,336,726446,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
4,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,124,4725658,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,20,4487159,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1499,656654753,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1267,116796111,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,41,662519,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,57,673803,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,242,17310103,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,37,1618693,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1192,155018853,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1510,638697129,Wine,FALSE
5,2012,1-Production,0-Category Total,1-Production,609,13266599,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1167,56113512,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1167,56113512,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,607,9940033,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,137,9039594,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1646,737065961,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1646,737065961,Wine,FALSE
5,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1742,1742,Wine,FALSE
5,2012,1-Production,1-Production,1-Low Alcohol %,558,12556228,Wine,FALSE
5,2012,1-Production,1-Production,2-Medium and High Alcohol %,361,-1612446,Wine,FALSE
5,2012,1-Production,1-Production,4-Artificially Carbonated Wine,6,7601,Wine,FALSE
5,2012,1-Production,1-Production,5-Sparkling Wine,32,2057811,Wine,FALSE
5,2012,1-Production,1-Production,6-Hard Cider,12,257405,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,997,48340526,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,769,4405164,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,48,105360,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,180,1862325,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,33,1400138,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1150,55055894,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,63,1057618,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,531,8920771,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,337,860471,Wine,FALSE
