winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Vina Robles,Grenache,2022.0,Grenache,Grenache,Red,Paso Robles,,64.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Grenache,2023.0,Grenache,Grenache,Red,Paso Robles,,64.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Fore,2018.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,58.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Creston Valley Petit Sirah,2019.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,52.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Petite Sirah,2022.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,40.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Syrah,2018.0,Syrah,Syrah,Red,Paso Robles,,56.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Syrah,2019.0,Syrah,Syrah,Red,Paso Robles,,60.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Syrah,2021.0,Syrah,Syrah,Red,Paso Robles,,62.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,The Arborist,2022.0,"Syrah, Petite Sirah, Grenache, Tannat",Red Blend,Red,Paso Robles,,25.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Zinfandel,2021.0,Zinfandel,Zinfandel,Red,Paso Robles,,40.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Albarino,2023.0,Albarino,Albarino,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Chardonnay,2024.0,Chardonnay,Chardonnay,White,Paso Robles,,28.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Sauvignon Blanc,2023.0,Sauvignon Blanc,Sauvignon Blanc,White,Paso Robles,,28.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Verdejo,2023.0,Verdejo,Verdejo,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Vermentino,2023.0,Vermentino,Vermentino,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Vermentino,2024.0,Vermentino,Vermentino,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
